year,crop,acres_harvested,ears_per_acre,plant_pop,production_dollars,bu_per_acre
1927,HAY,3448e3,NA,NA,NA,NA
1927,OATS,614e4,NA,NA,NA,31.9
1927,RYE,43e3,NA,NA,NA,15
1927,SOYBEANS,23e3,NA,NA,NA,12
1927,WHEAT,452e3,NA,NA,NA,18.1
1928,BARLEY,802e3,NA,NA,NA,32.5
1928,CORN_GRAIN,9752e3,NA,NA,NA,41.5
1928,FLAXSEED,19e3,NA,NA,NA,10
1928,HAY,3115e3,NA,NA,NA,NA
1928,OATS,615e4,NA,NA,NA,38.4
1928,RYE,49e3,NA,NA,NA,15.5
1928,SOYBEANS,21e3,NA,NA,NA,17
1928,WHEAT,463e3,NA,NA,NA,18.8
1929,BARLEY,685e3,NA,NA,NA,29
1929,CORN_GRAIN,9684e3,NA,NA,NA,40.2
1929,FLAXSEED,13e3,NA,NA,NA,9
1929,HAY,3581e3,NA,NA,NA,NA
1929,OATS,6043e3,NA,NA,NA,35.6
1929,RYE,45e3,NA,NA,NA,15.9
1929,SOYBEANS,36e3,NA,NA,NA,16
1929,WHEAT,426e3,NA,NA,NA,18.8
1930,BARLEY,529e3,NA,NA,NA,29.5
1930,CORN_GRAIN,9831e3,NA,NA,NA,34
1930,FLAXSEED,2e4,NA,NA,NA,11.5
1930,HAY,3327e3,NA,NA,NA,NA
1930,OATS,6303e3,NA,NA,NA,37
1930,RYE,45e3,NA,NA,NA,16
1930,SOYBEANS,66e3,NA,NA,NA,15.5
1930,WHEAT,435e3,NA,NA,NA,20.5
1931,BARLEY,498e3,NA,NA,NA,26
1931,CORN_GRAIN,10037e3,NA,NA,NA,32.9
1931,FLAXSEED,23e3,NA,NA,NA,8
1931,HAY,3037e3,NA,NA,NA,NA
1931,OATS,612e4,NA,NA,NA,31
1931,RYE,41e3,NA,NA,NA,15
1931,SOYBEANS,51e3,NA,NA,NA,15.5
1931,WHEAT,357e3,NA,NA,NA,20.5
1932,BARLEY,597e3,NA,NA,NA,25
1932,CORN_GRAIN,10747e3,NA,NA,NA,43
1932,FLAXSEED,19e3,NA,NA,NA,9
1932,HAY,3093e3,NA,NA,NA,NA
1932,OATS,6181e3,NA,NA,NA,35.5
1932,RYE,41e3,NA,NA,NA,14.5
1932,SOYBEANS,52e3,NA,NA,NA,18
1932,WHEAT,273e3,NA,NA,NA,15.9
1933,BARLEY,58e4,NA,NA,NA,16
1933,CORN_GRAIN,10435e3,NA,NA,NA,40
1933,FLAXSEED,28e3,NA,NA,NA,6.5
1933,HAY,3526e3,NA,NA,NA,NA
1933,OATS,6243e3,NA,NA,NA,23
1933,RYE,33e3,NA,NA,NA,13
1933,SOYBEANS,95e3,NA,NA,NA,17
1933,WHEAT,251e3,NA,NA,NA,17.1
1934,BARLEY,389e3,NA,NA,NA,12.6
1934,CORN_GRAIN,5701e3,NA,NA,NA,28.2
1934,FLAXSEED,16e3,NA,NA,NA,6
1934,HAY,3525e3,NA,NA,NA,NA
1934,OATS,4756e3,NA,NA,NA,13
1934,RYE,45e3,NA,NA,NA,7.9
1934,SOYBEANS,18e4,NA,NA,NA,11.5
1934,WHEAT,298e3,NA,NA,NA,12.2
1935,BARLEY,576e3,NA,NA,NA,26.5
1935,CORN_GRAIN,8962e3,NA,NA,NA,38
1935,FLAXSEED,21e3,NA,NA,NA,8
1935,HAY,3331e3,NA,NA,NA,NA
1935,OATS,61e5,NA,NA,NA,34.5
1935,RYE,125e3,NA,NA,NA,15
1935,SOYBEANS,408e3,NA,NA,NA,16.5
1935,WHEAT,401e3,NA,NA,NA,15.8
1936,BARLEY,374e3,NA,NA,NA,16
1936,CORN_GRAIN,7445e3,NA,NA,NA,20
1936,FLAXSEED,1e4,NA,NA,NA,8
1936,HAY,342e4,NA,NA,NA,NA
1936,OATS,5642e3,NA,NA,NA,28
1936,RYE,81e3,NA,NA,NA,14
1936,SOYBEANS,192e3,NA,NA,NA,14
1936,WHEAT,407e3,NA,NA,NA,20.7
1937,BARLEY,389e3,NA,NA,NA,32
1937,CORN_GRAIN,1024e4,NA,NA,NA,45
1937,FLAXSEED,8e3,NA,NA,NA,11.5
1937,HAY,2801e3,NA,NA,NA,NA
1937,OATS,5913e3,NA,NA,NA,46
1937,RYE,207e3,NA,NA,NA,19.5
1937,SOYBEANS,234e3,NA,NA,NA,18.5
1937,WHEAT,817e3,NA,NA,NA,17.9
1938,BARLEY,436e3,NA,NA,NA,30.5
1938,CORN_GRAIN,9844e3,NA,NA,NA,46
1938,FLAXSEED,11e3,NA,NA,NA,13.3
1938,HAY,3137e3,NA,NA,NA,NA
1938,OATS,5972e3,NA,NA,NA,35
1938,RYE,12e4,NA,NA,NA,15.5
1938,SOYBEANS,308e3,NA,NA,NA,21
1938,WHEAT,583e3,NA,NA,NA,15.9
1939,BARLEY,55e4,NA,NA,NA,23.5
1939,CORN_GRAIN,896e4,NA,NA,NA,52.2
1939,FLAXSEED,102e3,NA,NA,NA,10.2
1939,HAY,3694e3,NA,NA,NA,NA
1939,OATS,5076e3,NA,NA,NA,31.5
1939,RYE,68e3,NA,NA,NA,15
1939,SOYBEANS,55e4,NA,NA,NA,20.7
1939,WHEAT,392e3,NA,NA,NA,17.7
1940,BARLEY,429e3,NA,NA,NA,30
1940,CORN_GRAIN,8624e3,NA,NA,NA,52.5
1940,FLAXSEED,197e3,NA,NA,NA,13
1940,HAY,4309e3,NA,NA,NA,NA
1940,OATS,5178e3,NA,NA,NA,38.5
1940,RYE,37e3,NA,NA,NA,18.5
1940,SOYBEANS,709e3,NA,NA,NA,20
1940,WHEAT,312e3,NA,NA,NA,24.8
1941,BARLEY,266e3,NA,NA,NA,27.5
1941,CORN_GRAIN,8616e3,NA,NA,NA,51
1941,FLAXSEED,305e3,NA,NA,NA,13
1941,HAY,383e4,NA,NA,NA,NA
1941,OATS,5437e3,NA,NA,NA,32.5
1941,RYE,19e3,NA,NA,NA,13.5
1941,SOYBEANS,942e3,NA,NA,NA,17
1941,WHEAT,181e3,NA,NA,NA,12.9
1942,BARLEY,189e3,NA,NA,NA,22
1942,CORN_GRAIN,9133e3,NA,NA,NA,60
1942,FLAXSEED,256e3,NA,NA,NA,12.5
1942,HAY,3756e3,NA,NA,NA,NA
1942,OATS,5165e3,NA,NA,NA,38
1942,RYE,18e3,NA,NA,NA,15.5
1942,SOYBEANS,1818e3,NA,NA,NA,19.5
1942,WHEAT,178e3,NA,NA,NA,23.6
1943,BARLEY,34e3,NA,NA,NA,20
1943,CORN_GRAIN,10127e3,NA,NA,NA,55
1943,FLAXSEED,325e3,NA,NA,NA,12
1943,HAY,3364e3,NA,NA,NA,NA
1943,OATS,4907e3,NA,NA,NA,36.5
1943,RYE,13e3,NA,NA,NA,14.5
1943,SOYBEANS,1873e3,NA,NA,NA,19.5
1943,WHEAT,129e3,NA,NA,NA,19.3
1944,BARLEY,7e3,NA,NA,NA,16.6
1944,CORN_GRAIN,10397e3,NA,NA,NA,52.5
1944,FLAXSEED,93e3,NA,NA,NA,5.9
1944,HAY,3551e3,NA,NA,NA,NA
1944,OATS,4711e3,NA,NA,NA,28.7
1944,RYE,1e4,NA,NA,NA,12
1944,SOYBEANS,191e4,NA,NA,NA,20.3
1944,WHEAT,12e4,NA,NA,NA,15.9
1945,BARLEY,3e3,NA,NA,NA,28
1945,CORN_GRAIN,9924e3,NA,NA,NA,44.5
1945,FLAXSEED,75e3,NA,NA,NA,12.5
1945,HAY,3304e3,NA,NA,NA,NA
1945,OATS,5323e3,NA,NA,NA,38.5
1945,RYE,11e3,NA,NA,NA,13
1945,SOYBEANS,191e4,NA,NA,NA,18.5
1945,WHEAT,14e4,NA,NA,NA,19
1946,BARLEY,13e3,NA,NA,NA,31.5
1946,CORN_GRAIN,106e5,NA,NA,NA,57
1946,FLAXSEED,34e3,NA,NA,NA,15
1946,HAY,3275e3,NA,NA,NA,NA
1946,OATS,5642e3,NA,NA,NA,37.5
1946,RYE,1e4,NA,NA,NA,17
1946,SOYBEANS,1548e3,NA,NA,NA,23
1946,WHEAT,185e3,NA,NA,NA,23.4
1947,BARLEY,34e3,NA,NA,NA,23.5
1947,CORN_GRAIN,9588e3,NA,NA,NA,31
1947,FLAXSEED,83e3,NA,NA,NA,13.5
1947,HAY,3338e3,NA,NA,NA,NA
